Descrição,Data,Quantidade,PdCusto,PdVenda,Tecido,Estacao
Calça Primavera Linho,2016-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2016-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2016-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2016-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2016-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2016-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2016-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2016-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2016-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2016-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2016-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2016-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2016-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2016-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2016-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2016-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2016-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2016-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2016-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2016-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2016-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2016-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2016-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2016-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2016-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2016-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2016-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2016-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2016-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2016-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2016-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2016-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2016-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2016-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2016-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2016-11,4,12,24,Viscose,Verão
Short Verão Jeans,2016-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2016-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2016-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2016-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2016-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2016-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2016-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2016-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2016-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2016-12,4,12,24,Viscose,Verão
Short Verão Jeans,2016-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2016-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2016-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2017-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2017-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2017-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2017-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2017-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2017-01,4,12,24,Viscose,Verão
Short Verão Jeans,2017-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2017-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2017-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2017-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2017-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2017-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2017-02,4,12,24,Viscose,Verão
Short Verão Jeans,2017-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2017-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2017-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2017-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2017-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2017-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2017-03,1,12,24,Viscose,Outono
Saia Outono Couro,2017-03,3,14,28,Couro,Outono
Short Outono Sarja,2017-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2017-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2017-03,1,28,56,Lã,Outono
Calça Outono Sarja,2017-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2017-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2017-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2017-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2017-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2017-04,2,12,24,Viscose,Outono
Saia Outono Couro,2017-04,4,14,28,Couro,Outono
Short Outono Sarja,2017-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2017-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2017-04,3,28,56,Lã,Outono
Calça Inverno Lã,2017-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2017-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2017-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2017-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2017-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2017-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2017-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2017-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2017-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2017-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2017-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2017-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2017-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2017-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2017-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2017-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2017-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2017-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2017-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2017-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2017-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2017-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2017-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2017-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2017-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2017-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2017-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2017-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2017-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2017-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2017-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2017-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2017-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2017-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2017-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2017-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2017-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2017-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2017-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2017-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2017-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2017-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2017-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2017-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2017-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2017-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2017-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2017-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2017-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2017-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2017-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2017-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2017-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2017-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2017-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2017-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2017-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2017-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2017-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2017-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2017-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2017-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2017-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2017-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2017-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2017-11,4,12,24,Viscose,Verão
Short Verão Jeans,2017-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2017-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2017-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2017-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2017-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2017-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2017-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2017-12,4,12,24,Viscose,Verão
Short Verão Jeans,2017-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2017-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2017-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2018-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2018-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2018-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2018-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2018-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2018-01,4,12,24,Viscose,Verão
Short Verão Jeans,2018-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2018-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2018-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2018-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2018-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2018-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2018-02,4,12,24,Viscose,Verão
Short Verão Jeans,2018-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2018-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2018-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2018-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2018-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2018-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2018-03,1,12,24,Viscose,Outono
Saia Outono Couro,2018-03,3,14,28,Couro,Outono
Short Outono Sarja,2018-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2018-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2018-03,1,28,56,Lã,Outono
Calça Outono Sarja,2018-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2018-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2018-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2018-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2018-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2018-04,2,12,24,Viscose,Outono
Saia Outono Couro,2018-04,4,14,28,Couro,Outono
Short Outono Sarja,2018-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2018-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2018-04,3,28,56,Lã,Outono
Calça Inverno Lã,2018-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2018-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2018-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2018-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2018-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2018-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2018-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2018-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2018-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2018-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2018-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2018-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2018-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2018-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2018-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2018-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2018-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2018-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2018-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2018-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2018-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2018-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2018-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2018-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2018-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2018-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2018-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2018-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2018-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2018-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2018-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2018-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2018-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2018-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2018-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2018-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2018-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2018-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2018-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2018-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2018-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2018-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2018-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2018-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2018-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2018-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2018-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2018-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2018-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2018-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2018-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2018-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2018-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2018-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2018-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2018-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2018-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2018-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2018-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2018-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2018-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2018-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2018-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2018-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2018-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2018-11,4,12,24,Viscose,Verão
Short Verão Jeans,2018-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2018-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2018-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2018-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2018-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2018-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2018-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2018-12,4,12,24,Viscose,Verão
Short Verão Jeans,2018-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2018-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2018-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2019-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2019-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2019-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2019-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2019-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2019-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2019-01,4,12,24,Viscose,Verão
Short Verão Jeans,2019-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2019-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2019-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2019-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2019-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2019-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2019-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2019-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2019-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2019-02,4,12,24,Viscose,Verão
Short Verão Jeans,2019-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2019-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2019-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2019-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2019-03,3,20,40,Algodão,Outono
Bermuda Outono Jeans,2019-03,1,18,36,Jeans,Outono
Blusa Outono Tricô,2019-03,4,16,32,Tricô,Outono
Camisa Outono Lã,2019-03,2,24,48,Lã,Outono
Cropped Outono Viscose,2019-03,1,12,24,Viscose,Outono
Saia Outono Couro,2019-03,3,14,28,Couro,Outono
Short Outono Sarja,2019-03,4,18,36,Sarja,Outono
T-shirt Outono Algodão,2019-03,2,10,20,Algodão,Outono
Vestido Outono Lã,2019-03,1,28,56,Lã,Outono
Calça Outono Sarja,2019-04,3,22,44,Sarja,Outono
Calça Outono Algodão,2019-04,4,20,40,Algodão,Outono
Bermuda Outono Jeans,2019-04,2,18,36,Jeans,Outono
Blusa Outono Tricô,2019-04,1,16,32,Tricô,Outono
Camisa Outono Lã,2019-04,3,24,48,Lã,Outono
Cropped Outono Viscose,2019-04,2,12,24,Viscose,Outono
Saia Outono Couro,2019-04,4,14,28,Couro,Outono
Short Outono Sarja,2019-04,1,18,36,Sarja,Outono
T-shirt Outono Algodão,2019-04,2,10,20,Algodão,Outono
Vestido Outono Lã,2019-04,3,28,56,Lã,Outono
Calça Inverno Lã,2019-05,2,30,60,Lã,Inverno
Calça Inverno Malha,2019-05,4,28,56,Malha,Inverno
Bermuda Inverno Moletom,2019-05,1,20,40,Moletom,Inverno
Blusa Inverno Lã,2019-05,3,26,52,Lã,Inverno
Camisa Inverno Flanela,2019-05,2,24,48,Flanela,Inverno
Cropped Inverno Algodão,2019-05,1,14,28,Algodão,Inverno
Saia Inverno Lã,2019-05,2,22,44,Lã,Inverno
Short Inverno Moletom,2019-05,3,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2019-05,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2019-05,2,32,64,Lã,Inverno
Calça Inverno Lã,2019-06,1,30,60,Lã,Inverno
Calça Inverno Malha,2019-06,3,28,56,Malha,Inverno
Bermuda Inverno Moletom,2019-06,2,20,40,Moletom,Inverno
Blusa Inverno Lã,2019-06,4,26,52,Lã,Inverno
Camisa Inverno Flanela,2019-06,1,24,48,Flanela,Inverno
Cropped Inverno Algodão,2019-06,3,14,28,Algodão,Inverno
Saia Inverno Lã,2019-06,2,22,44,Lã,Inverno
Short Inverno Moletom,2019-06,4,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2019-06,2,12,24,Algodão,Inverno
Vestido Inverno Lã,2019-06,3,32,64,Lã,Inverno
Calça Inverno Lã,2019-07,4,30,60,Lã,Inverno
Calça Inverno Malha,2019-07,1,28,56,Malha,Inverno
Bermuda Inverno Moletom,2019-07,3,20,40,Moletom,Inverno
Blusa Inverno Lã,2019-07,2,26,52,Lã,Inverno
Camisa Inverno Flanela,2019-07,4,24,48,Flanela,Inverno
Cropped Inverno Algodão,2019-07,1,14,28,Algodão,Inverno
Saia Inverno Lã,2019-07,3,22,44,Lã,Inverno
Short Inverno Moletom,2019-07,2,18,36,Moletom,Inverno
T-shirt Inverno Algodão,2019-07,4,12,24,Algodão,Inverno
Vestido Inverno Lã,2019-07,1,32,64,Lã,Inverno
Calça Primavera Viscose,2019-08,2,20,40,Viscose,Primavera
Calça Primavera Linho,2019-08,3,22,44,Linho,Primavera
Bermuda Primavera Algodão,2019-08,1,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2019-08,4,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2019-08,2,24,48,Viscose,Primavera
Cropped Primavera Linho,2019-08,3,12,24,Linho,Primavera
Saia Primavera Seda,2019-08,4,14,28,Seda,Primavera
Short Primavera Algodão,2019-08,1,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2019-08,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2019-08,3,30,60,Chiffon,Primavera
Calça Primavera Viscose,2019-09,1,20,40,Viscose,Primavera
Calça Primavera Linho,2019-09,2,22,44,Linho,Primavera
Bermuda Primavera Algodão,2019-09,4,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2019-09,3,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2019-09,1,24,48,Viscose,Primavera
Cropped Primavera Linho,2019-09,2,12,24,Linho,Primavera
Saia Primavera Seda,2019-09,4,14,28,Seda,Primavera
Short Primavera Algodão,2019-09,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2019-09,2,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2019-09,1,30,60,Chiffon,Primavera
Calça Primavera Viscose,2019-10,4,20,40,Viscose,Primavera
Calça Primavera Linho,2019-10,1,22,44,Linho,Primavera
Bermuda Primavera Algodão,2019-10,3,18,36,Algodão,Primavera
Blusa Primavera Chiffon,2019-10,2,16,32,Chiffon,Primavera
Camisa Primavera Viscose,2019-10,4,24,48,Viscose,Primavera
Cropped Primavera Linho,2019-10,1,12,24,Linho,Primavera
Saia Primavera Seda,2019-10,2,14,28,Seda,Primavera
Short Primavera Algodão,2019-10,3,18,36,Algodão,Primavera
T-shirt Primavera Poliéster,2019-10,1,10,20,Poliéster,Primavera
Vestido Primavera Chiffon,2019-10,4,30,60,Chiffon,Primavera
Calça Verão Tactel,2019-11,2,20,40,Tactel,Verão
Calça Verão Cetim,2019-11,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2019-11,4,15,30,Jeans,Verão
Blusa Verão Seda,2019-11,1,18,36,Seda,Verão
Camisa Verão Algodão,2019-11,2,22,44,Algodão,Verão
Cropped Verão Algodão,2019-11,3,10,20,Algodão,Verão
Saia Verão Viscose,2019-11,4,12,24,Viscose,Verão
Short Verão Jeans,2019-11,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2019-11,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2019-11,2,30,60,Cetim,Verão
Calça Verão Tactel,2019-12,1,20,40,Tactel,Verão
Calça Verão Cetim,2019-12,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2019-12,3,15,30,Jeans,Verão
Blusa Verão Seda,2019-12,2,18,36,Seda,Verão
Camisa Verão Algodão,2019-12,4,22,44,Algodão,Verão
Cropped Verão Algodão,2019-12,3,10,20,Algodão,Verão
Saia Verão Viscose,2019-12,4,12,24,Viscose,Verão
Short Verão Jeans,2019-12,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2019-12,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2019-12,1,30,60,Cetim,Verão
Calça Verão Tactel,2020-01,2,20,40,Tactel,Verão
Calça Verão Cetim,2020-01,3,25,50,Cetim,Verão
Bermuda Verão Jeans,2020-01,4,15,30,Jeans,Verão
Blusa Verão Seda,2020-01,1,18,36,Seda,Verão
Camisa Verão Algodão,2020-01,2,22,44,Algodão,Verão
Cropped Verão Algodão,2020-01,3,10,20,Algodão,Verão
Saia Verão Viscose,2020-01,4,12,24,Viscose,Verão
Short Verão Jeans,2020-01,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2020-01,1,8,16,Poliéster,Verão
Vestido Verão Cetim,2020-01,2,30,60,Cetim,Verão
Calça Verão Tactel,2020-02,1,20,40,Tactel,Verão
Calça Verão Cetim,2020-02,2,25,50,Cetim,Verão
Bermuda Verão Jeans,2020-02,3,15,30,Jeans,Verão
Blusa Verão Seda,2020-02,2,18,36,Seda,Verão
Camisa Verão Algodão,2020-02,4,22,44,Algodão,Verão
Cropped Verão Algodão,2020-02,3,10,20,Algodão,Verão
Saia Verão Viscose,2020-02,4,12,24,Viscose,Verão
Short Verão Jeans,2020-02,2,16,32,Jeans,Verão
T-shirt Verão Poliéster,2020-02,3,8,16,Poliéster,Verão
Vestido Verão Cetim,2020-02,1,30,60,Cetim,Verão
Calça Outono Sarja,2020-03,2,22,44,Sarja,Outono
Calça Outono Algodão,2020-03,3,20,40,Algodão,Outono
